English,Swedish
fireman,brandman
to work,arbeta
September,september
four,fyra
journalist,journalist
Friday,fredag
optician,optiker
customer,kund
arm,arm
a table,ett bord
bakery,bageri
brother,bror
man,man
day,dag
jeweler,juvelerare
half,halv
glass,glas
February,februari
coffee,kaffe
grandmother,farmor; mormor
to bake,baka
lawyer,advokat
hotel,hotell
a park,en park
oil (food),olja
kettle,kittel
leg,ben
November,november
July,juli
one hundred,hundra
lid,lock
granddaughter,sondotter; dotterdotter
clock,klocka
a problem,ett problem
tea,te
forty,fyrtio
boy,pojke
warm,varmt
son,son
elephant,elefant
Thank you.,Tack.
thirty,trettio
teapot,tekanna
Good night.,Godnatt.
a library,ett bibliotek
week,vecka
Wednesday,onsdag
spoon,sked
I,jag
student,student
grandfather,farfar; morfar
much,mycket
a banana,en banan
floor,golv
salt,salt
six,sex
ten,tio
breakfast,frukost
December,december
October,oktober
fat (nutrient),fett
room,rum
coffee pot,kaffekanna
black,svart
to come,komma
Tuesday,tisday
five,fem
August,augusti
book,bok
o'clock,klockan
white,vit
second (time),sekund
Thursday,torsdag
twelve,tolv
policeman,polis
yellow,gul
quarter,kvart
orange (color),orange
sister,syster
sausage,korv
cow,ko
cat,katt
photographer,fotograf
daughter,dotter
mouse,mus
cousin,kusin
omelet,omelett
wine,vin
zero,noll
giraffe,giraff
roof,tak
knife,kniv
soup,soppa
tiger,tiger
grandson,sonson; dotterson
one thousand,tusen
shampoo,schampo
sixty,sextio
fifteen,femton
school,skola
Hello.,Hej.
brown,brun
father,pappa; far; fader
No.,Nej.
minute,minut
May,maj
girl,flicka
winter,vinter
family,familj